name;db_target;db_year;method_0;method_1;method_2;activity;unit;total;46430: Parts of primary cells, primary batteries and electric accumulators (including separators);4153: Semi-finished products of aluminium or aluminium alloys;41431: Unwrought aluminium;46410: Primary cells and primary batteries;88752: Battery and accumulator manufacturing services;53269: Other constructions for manufacturing;39363: Waste and scrap of aluminium;"471: Electronic valves and tubes; electronic components; parts thereof";35470: Chemical elements and compounds doped for use in electronics;46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];47130: Printed circuits;"41412: Unrefined copper; copper anodes for electrolytic refining";"463: Insulated wire and cable; optical fibre cables";342: Basic inorganic chemicals n.e.c.;341: Basic organic chemicals;89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services;4124: Bars and rods, hot-rolled, of iron or steel;34710: Polymers of ethylene, in primary forms;39990: Other wastes n.e.c.;6511: Road transport services of freight;34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];17100: Electrical energy;65119: Other road transport services of freight;65213: Coastal and transoceanic water transport services of intermodal containers by container ships;"47150: Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";53211: Highways (except elevated highways), streets and roads;17300: Steam and hot water;4151: Semi-finished products of copper or copper alloys;41513: Wire of copper;88601: Basic iron and steel manufacturing services;89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services;893: Casting, forging, stamping and similar metal manufacturing services;"41413: Refined copper and copper alloys, unwrought; master alloys of copper";47120: Electrical resistors (except heating resistors);4: Metal products, machinery and equipment;88741: Electronic component and board manufacturing services;47110: Electrical capacitors;531: Buildings;47160: Electronic integrated circuits;3712: Glass fibres and articles thereof, except woven fabrics;41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel;6512: Railway transport services of freight;54269: General construction services of other industrial plants;"34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]";"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";41121: Non-alloy steel in ingots or other primary forms, and semi-finished products of non-alloy steel;39: Wastes or scraps;347: Plastics in primary forms;65229: Other inland water transport services of freight;39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;33380: Lubricants;49114: Motor vehicles n.e.c. for the transport of goods;87141: Maintenance and repair services of motor vehicles;65219: Other coastal and transoceanic water transport services of other freight;36990: Articles of plastics n.e.c.;41443: Tin, unwrought;18000: Natural water;Unnamed: 77;33360: Gas oil;"333: Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]";14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);53212: Railways;4611: Electric motors, generators and the like;"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";other
NCA;Base;2020;T-reX;Demand: Aluminium;Aluminium;NCA, rechargeable, prismatic;kg;0.9261347873117924;0.1525780923630846;0.3332994433628187;0.2184713891130136;0.2009785559239379;0.054221375648166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04045114358897928
NMC811;Base;2020;T-reX;Demand: Aluminium;Aluminium;LFP, rechargeable, prismatic;kg;0.9084316060884098;0.1683451676609443;0.3281269312576486;0.2097473712414217;0.2108507440456836;0.0489498058200064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03397997997429536
NMC111;Base;2020;T-reX;Demand: Aluminium;Aluminium;NMC811, rechargeable, prismatic;kg;0.8867006055969309;0.1271895527912105;0.343570188266542;0.2248035179252367;0.207084043057263;0.0566506366964072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04070206126334053
LiMn2O4;Base;2020;T-reX;Demand: Aluminium;Aluminium;NMC111, rechargeable, prismatic;kg;0.8742033002125663;0.1449145608607708;0.3369873884333634;0.2179597597988198;0.2049187822855879;0.0551809982563158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04003851036514228
LFP;Base;2020;T-reX;Demand: Aluminium;Aluminium;LiMn2O4, rechargeable, prismatic;kg;0.4250637615690282;0.8550569383969936;0.0777517819649756;0.0;0.033362488701445;0.0;0.0074621397635644;0.0;0.0;0.0;0.0065946878734998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01977196329952169
NCA;Base;2020;T-reX;Demand: Bauxite;Bauxite;NCA, rechargeable, prismatic;kg;0.982238393060722;0.1396153243902406;0.2544981956818197;0.5646787956441573;0.0;0.0;0.0147248180969364;0.0;0.0074829836708172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0189998825160288
NMC811;Base;2020;T-reX;Demand: Bauxite;Bauxite;LFP, rechargeable, prismatic;kg;0.9637716185997336;0.1754629849643547;0.2535711477835573;0.541956272604256;0.0;0.0;0.0104893385153178;0.0;0.0069449310396894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011575325092824773
NMC111;Base;2020;T-reX;Demand: Bauxite;Bauxite;NMC811, rechargeable, prismatic;kg;0.9572157581542282;0.130237043338291;0.2581510683121101;0.5708472148902652;0.0;0.0;0.0138584242809866;0.0;0.0074639155868924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01944233359145464
LiMn2O4;Base;2020;T-reX;Demand: Bauxite;Bauxite;NMC111, rechargeable, prismatic;kg;0.9416959792640792;0.1486352639211986;0.2563893214443694;0.5546610430112154;0.0;0.0;0.0138533798401664;0.0;0.0073946258599533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01906636592309674
LFP;Base;2020;T-reX;Demand: Bauxite;Bauxite;LiMn2O4, rechargeable, prismatic;kg;0.4690193380581359;0.8551561464577567;0.1087801372517028;0.0;0.0;0.0;0.0079224683220659;0.0;0.0;0.0;0.0064435880804457;0.0042544073206714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01744325256735757
